iter	R2	RMSE
419	0.8945316901	0.2178439796
420	0.8949662325	0.2173947445
421	0.8959081851	0.216417741
422	0.8967207697	0.2155713618
423	0.8973321084	0.2149324012
424	0.8980994065	0.2141277363
425	0.8986819757	0.2135147711
426	0.8995570966	0.2125906687
427	0.9002210636	0.2118868497
428	0.900945829	0.2111159048
429	0.9014954855	0.2105293436
430	0.9023154314	0.2096512955
431	0.9030368215	0.2088757348
432	0.9037213086	0.2081371763
433	0.9043138023	0.2074957556
434	0.9047668628	0.2070039414
435	0.905157314	0.2065791525
436	0.9056681837	0.2060220324
437	0.9059967684	0.2056629026
438	0.9064200687	0.2051993261
439	0.9071241223	0.2044259546
440	0.9077180635	0.2037712543
441	0.9080829878	0.2033679536
442	0.9085387287	0.2028631598
443	0.9088106454	0.2025613767
444	0.9092478475	0.2020752088
445	0.9099764496	0.2012623955
446	0.91011375	0.2011088581
447	0.9108040443	0.2003351477
448	0.9111576618	0.1999376389
449	0.9112917103	0.1997867454
450	0.911717763	0.1993063949
451	0.9120591381	0.1989206767
452	0.9121880869	0.1987747832
453	0.9124132679	0.1985197549
454	0.9129766082	0.1978803055
455	0.9134398216	0.1973529581
456	0.9135648363	0.197210393
457	0.9140060654	0.1967063949
458	0.9143388582	0.1963254034
459	0.9148681685	0.1957179045
460	0.9153028649	0.195217582
461	0.9155645675	0.1949157508
462	0.915777916	0.1946693419
463	0.9162744859	0.1940946123
464	0.9168104735	0.1934723448
465	0.9171134478	0.1931197125
466	0.917465965	0.1927086051
467	0.9177317484	0.1923980663
468	0.9183272112	0.191700507
469	0.9185328748	0.1914589904
470	0.9186501139	0.1913211769
471	0.9192709879	0.1905896831
472	0.9195081491	0.1903095253
473	0.9199019732	0.1898433889
474	0.9202079059	0.1894804906
475	0.9204029354	0.1892487828
476	0.9207202087	0.1888712341
477	0.9208322958	0.1887376723
478	0.9210211856	0.1885123789
479	0.9214670182	0.187979553
480	0.9215755217	0.1878496491
481	0.9220649203	0.1872626052
482	0.9227375296	0.1864527804
483	0.923104948	0.186008918
484	0.9234151618	0.1856333357
485	0.9236538401	0.1853438447
486	0.923863211	0.1850895277
487	0.924206027	0.1846723626
488	0.9246046965	0.1841860423
489	0.9249849308	0.1837210108
490	0.9252617653	0.1833816968
491	0.9254878361	0.1831041371
492	0.9257107042	0.182830097
493	0.9260696589	0.1823878585
494	0.9266171735	0.1817112377
495	0.9268963895	0.1813652097
496	0.9272794205	0.1808894484
497	0.9278203935	0.1802153684
498	0.928323796	0.1795858305
499	0.928662421	0.1791611132
500	0.9289905376	0.1787486134
501	0.9290867562	0.1786274691
502	0.9293346925	0.1783149252
503	0.9296528163	0.1779130999
504	0.9297693368	0.1777656945
505	0.9298622294	0.177648092
506	0.9301048555	0.1773405587
507	0.9303963753	0.1769703449
508	0.9307423693	0.1765299443
509	0.931050971	0.1761362096
510	0.931163547	0.1759923584
511	0.9314626031	0.1756096478
512	0.9315720345	0.1754693967
513	0.9318065109	0.1751685055
514	0.9320673149	0.1748332213
515	0.9325310472	0.1742354629
516	0.9329168083	0.1737366438
517	0.9330031362	0.1736248188
518	0.9330869555	0.1735161744
519	0.9335066659	0.1729711305
520	0.9336671266	0.1727622988
521	0.933948261	0.1723958063
522	0.9340526832	0.1722594809
523	0.9342088755	0.1720553667
524	0.9344813467	0.171698717
525	0.9347472434	0.1713499573
526	0.9348479641	0.1712176628
527	0.9351120023	0.1708703682
528	0.9352099454	0.1707413621
529	0.9353354299	0.1705759372
530	0.9355919561	0.1702372613
531	0.9356849625	0.1701143039
532	0.9358483249	0.1698981185
533	0.9360972282	0.1695682028
534	0.9361876368	0.169448209
535	0.9363209783	0.1692710781
536	0.9364075086	0.1691560319
537	0.936649027	0.1688345069
538	0.9369952501	0.1683725211
539	0.937313921	0.1679461768
540	0.937564081	0.1676107322
541	0.9379258643	0.1671244187
542	0.9383611437	0.1665374286
543	0.9386012021	0.1662128144
544	0.9389190396	0.1657820469
545	0.9391596656	0.1654551787
546	0.9393856249	0.165147645
547	0.9395111721	0.1649765258
548	0.9397450737	0.1646572465
549	0.9399756814	0.1643418563
550	0.9401951393	0.164041152
551	0.9404943794	0.1636302385
552	0.9407415794	0.163290006
553	0.9410659771	0.1628424443
554	0.9412909984	0.1625312653
555	0.9413988384	0.1623819235
556	0.9417075873	0.1619535918
557	0.9419808135	0.1615735944
558	0.9422067798	0.1612586485
559	0.9424405037	0.1609322419
560	0.9426548381	0.1606323307
561	0.9428605658	0.1603439347
562	0.9430825456	0.1600321733
563	0.9433700941	0.159627418
564	0.9434527619	0.1595108642
565	0.9437010109	0.1591603434
566	0.943919056	0.1588518315
567	0.9441274173	0.1585564606
568	0.9443838011	0.1581922565
569	0.9445730347	0.1579229033
570	0.9447033454	0.1577371529
571	0.9449081707	0.1574447435
572	0.9450894831	0.1571854472
573	0.9453860699	0.1567603715
574	0.9454677288	0.1566431334
575	0.9455473286	0.156528767
576	0.9457863846	0.1561847958
577	0.9461375703	0.1556781059
578	0.9465482932	0.1550834156
579	0.9467390197	0.1548064839
580	0.9468157761	0.1546948951
581	0.9469332646	0.1545239334
582	0.9470080831	0.1544149637
583	0.9474014474	0.1538407773
584	0.9475211378	0.1536656418
585	0.9476364603	0.1534967085
586	0.9478666202	0.1531589956
587	0.9480619941	0.1528717386
588	0.9481350525	0.1527641825
589	0.9483542057	0.1524410914
590	0.9486766664	0.1519644482
591	0.9489579764	0.1515474074
592	0.9491509078	0.1512607226
593	0.9495219445	0.1507078512
